"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","PG-13","True","English","Crazy, Stupid, Love.","USA","Dan Fogelman","68","7.4","Glenn Ficarra, John Requa","29 Jul 2011","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone","2011","Comedy, Drama, Romance","Nominated for 1 Golden Globe. Another 4 wins & 14 nominations.","118 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SY264_CR0,0,178,264_.jpg","252,631","tt1570728"
"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","PG-13","True","English","Thor","USA","Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)","57","7.0","Kenneth Branagh, Joss Whedon","06 May 2011","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","2011","Action, Adventure, Fantasy","5 wins & 15 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg","323,002","tt0800369"
"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.","R","True","English, Greek","Immortals","USA","Charley Parlapanides, Vlas Parlapanides","46","6.1","Tarsem Singh","11 Nov 2011","Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto","2011","Action, Drama, Fantasy","1 win & 4 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMzMjA2MjA2N15BMl5BanBnXkFtZTcwMTkwNTc5Ng@@._V1_SX300.jpg","109,449","tt1253864"
"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caretaker.","R","True","French, English","The Intouchables","France","Olivier Nakache, Eric Toledano","57","8.6","Olivier Nakache, Eric Toledano","02 Nov 2011","NA","2011","Biography, Comedy, Drama","Nominated for 1 Golden Globe. Another 24 wins & 30 nominations.","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg","257,729","tt1675434"
"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.","PG","True","N/A","Hugo","N/A","John Logan (screenplay), Brian Selznick (book)","83","7.6","Martin Scorsese","23 Nov 2011","NA","2011","Adventure, Drama, Family","N/A","126 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SY264_CR0,0,178,264_.jpg","178,430","tt0970179"
"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","R","True","English","Bridesmaids","USA","Kristen Wiig, Annie Mumolo","75","6.8","Paul Feig","13 May 2011","Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi","2011","Comedy, Romance","Nominated for 2 Oscars. Another 11 wins & 44 nominations.","125 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAyOTMyMzUxNl5BMl5BanBnXkFtZTcwODI4MzE0NA@@._V1_SY264_CR0,0,178,264_.jpg","158,833","tt1478338"
"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision corner with his older brother.","PG-13","True","English","Warrior","USA","Gavin O'Connor (screenplay), Anthony Tambakis (screenplay), Cliff Dorfman (screenplay)","71","8.2","Gavin O'Connor","09 Sep 2011","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison","2011","Drama, Sport","Nominated for 1 Oscar. Another 2 wins & 9 nominations.","140 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_SX178_.jpg","202,257","tt1291584"
"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African-American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","PG-13","True","English","The Help","USA, India, United Arab Emirates","Tate Taylor (screenplay), Kathryn Stockett (novel)","62","8.0","Tate Taylor","10 Aug 2011","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","2011","Drama","Won 1 Oscar. Another 46 wins & 68 nominations.","146 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_SY264_CR0,0,178,264_.jpg","196,789","tt1454029"
"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.","R","True","English","The Girl with the Dragon Tattoo","USA, Sweden, Norway","Steven Zaillian (screenplay), Stieg Larsson (novel)","71","7.9","David Fincher","20 Dec 2011","NA","2011","Crime, Drama, Mystery","Won 1 Oscar. Another 14 wins & 33 nominations.","158 min","movie","http://ia.media-imdb.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg","232,817","tt1568346"
"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.","PG-13","True","English, German","Sucker Punch","USA, Canada","Zack Snyder (screenplay), Steve Shibuya (screenplay)","33","6.0","Zack Snyder","25 Mar 2011","Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens","2011","Action, Fantasy, Thriller","1 nomination.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM1NzMwOTUxM15BMl5BanBnXkFtZTcwMzUzNDQ1NA@@._V1_SX178_.jpg","151,681","tt0978764"
"A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website.","PG-13","True","English","Abduction","USA","Shawn Christensen","25","4.9","John Singleton","23 Sep 2011","Alfred Molina, Maria Bello, Jason Isaacs, Denzel Whitaker","2011","Action, Mystery, Thriller","2 wins & 3 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkxNzU3OTg0Nl5BMl5BanBnXkFtZTcwNDY5MDY2Ng@@._V1_SX300.jpg","49,400","tt1600195"
"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.","PG-13","True","English","In Time","USA","Andrew Niccol","53","6.6","Andrew Niccol","28 Oct 2011","Justin Timberlake, Olivia Wilde, Shyloh Oostwald, Johnny Galecki","2011","Action, Sci-Fi, Thriller","2 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@._V1_SX300.jpg","201,502","tt1637688"
"NA","PG-13","True","English, French, Spanish, German","Midnight in Paris","Spain, USA","Woody Allen","81","7.7","Woody Allen","10 Jun 2011","Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","2011","Comedy, Fantasy, Romance","Won 1 Oscar. Another 18 wins & 52 nominations.","94 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg","208,274","tt1605783"
"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.","PG-13","True","English, French","Sherlock Holmes: A Game of Shadows","USA","Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)","48","7.5","Guy Ritchie","16 Dec 2011","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams","2011","Action, Adventure, Crime","2 wins & 8 nominations.","129 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg","229,182","tt1515091"
"Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","PG-13","True","English","Moneyball","USA","Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","87","7.6","Bennett Miller","23 Sep 2011","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright","2011","Biography, Drama, Sport","Nominated for 6 Oscars. Another 20 wins & 42 nominations.","133 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_SY264_CR0,0,178,264_.jpg","201,455","tt1210166"
"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","PG-13","True","English, Russian, French, Arabic, Swedish","Mission: Impossible - Ghost Protocol","USA, United Arab Emirates, Czech Republic","NA","73","7.3","Brad Bird","21 Dec 2011","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner","2011","Action, Thriller","3 wins & 19 nominations.","133 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SY264_CR0,0,178,264_.jpg","249,810","tt1229238"
"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.","PG-13","True","English","Transformers: Dark of the Moon","USA","Ehren Kruger","42","6.3","Michael Bay","29 Jun 2011","Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro","2011","Action, Adventure, Sci-Fi","Nominated for 3 Oscars. Another 6 wins & 27 nominations.","154 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg","231,250","tt1399103"
"The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.","PG-13","True","N/A","The Three Musketeers","N/A","NA","35","5.7","Paul W.S. Anderson","21 Oct 2011","Matthew Macfadyen, Milla Jovovich, Helen George, Christian Oliver","2011","Action, Adventure, Comedy","N/A","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SY264_CR0,0,178,264_.jpg","65,274","tt1509767"
"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.","R","True","English","No Strings Attached","USA","Elizabeth Meriwether (screenplay), Michael Samonek (story)","50","6.1","Ivan Reitman","21 Jan 2011","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","2011","Comedy, Romance","2 wins & 5 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg2MDQ1NTEzNl5BMl5BanBnXkFtZTcwOTgxNTMyNA@@._V1_SX178_.jpg","112,088","tt1411238"
"Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.","R","True","English","Horrible Bosses","USA","Michael Markowitz (screenplay), John Francis Daley (screenplay), Jonathan M. Goldstein (screenplay)","57","6.9","Seth Gordon","08 Jul 2011","Jason Bateman, Steve Wiebe, Kevin Spacey, Charlie Day","2011","Comedy, Crime","2 wins & 7 nominations.","98 min","movie","http://ia.media-imdb.com/images/M/MV5BNzYxNDI5Njc5NF5BMl5BanBnXkFtZTcwMDUxODE1NQ@@._V1_SY264_CR0,0,178,264_.jpg","240,765","tt1499658"
"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.","R","True","English","Hall Pass","USA","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay)","45","5.9","Bobby Farrelly, Peter Farrelly","25 Feb 2011","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate","2011","Comedy, Romance","N/A","105 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc4MzIxNTYwNl5BMl5BanBnXkFtZTcwNzE4MjE0NA@@._V1_SY264_CR0,0,178,264_.jpg","82,616","tt0480687"
"NA","R","True","English","Friends with Benefits","USA","Keith Merryman (screenplay), David A. Newman (screenplay), Will Gluck (screenplay), Harley Peyton (story)","63","6.6","Will Gluck","22 Jul 2011","Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman","2011","Comedy, Romance","4 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ2MzQ0NTk4N15BMl5BanBnXkFtZTcwMDc2NDYzNQ@@._V1_SY264_CR0,0,178,264_.jpg","169,320","tt1632708"
"A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.","R","True","English","The Descendants","USA","Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)","84","7.4","Alexander Payne","09 Dec 2011","George Clooney, Shailene Woodley, Amara Miller, Nick Krause","2011","Comedy, Drama","Won 1 Oscar. Another 51 wins & 82 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAyNTA1MTcyN15BMl5BanBnXkFtZTcwNjEyODczNQ@@._V1_SY264_CR0,0,178,264_.jpg","152,245","tt1033575"
"In New York City, Brandon's carefully cultivated private life -- which allows him to indulge his sexual addiction -- is disrupted when his sister arrives unannounced for an indefinite stay.","NC-17","True","English","Shame","UK","Steve McQueen, Abi Morgan","72","7.3","Steve McQueen","13 Jan 2012","Michael Fassbender, Lucy Walters, Mari-Ange Ramirez, James Badge Dale","2011","Drama","Nominated for 1 Golden Globe. Another 27 wins & 52 nominations.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ3MzM0OTE5MF5BMl5BanBnXkFtZTcwNzI4MDM5Ng@@._V1_SX300.jpg","95,782","tt1723811"
"Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.","PG-13","True","English, German","War Horse","USA","Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)","72","7.2","Steven Spielberg","25 Dec 2011","Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","2011","Drama, War","Nominated for 6 Oscars. Another 8 wins & 43 nominations.","146 min","movie","http://ia.media-imdb.com/images/M/MV5BMjExNzkxOTYyNl5BMl5BanBnXkFtZTcwODA0MjU4Ng@@._V1_SY264_CR0,0,178,264_.jpg","82,349","tt1568911"
"Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.","PG-13","True","English, Portuguese, Spanish","Fast Five","USA","Chris Morgan, Gary Scott Thompson (characters)","67","7.3","Justin Lin","29 Apr 2011","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson","2011","Action, Crime, Thriller","7 wins & 18 nominations.","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg","195,462","tt1596343"
"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.","PG-13","True","English","Like Crazy","USA","Drake Doremus, Ben York Jones","71","6.7","Drake Doremus","27 Jan 2012","Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley","2011","Drama, Romance","9 wins & 3 nominations.","90 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX178_.jpg","29,833","tt1758692"
"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.","R","True","English","50/50","USA","Will Reiser","72","7.8","Jonathan Levine","30 Sep 2011","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","2011","Comedy, Drama","Nominated for 2 Golden Globes. Another 9 wins & 9 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX300.jpg","192,202","tt1306980"
"Set in the near future, where robot boxing is a top sport, a struggling promoter feels he's found a champion in a discarded robot. During his hopeful rise to the top, he discovers he has an 11-year-old son who wants to know his father.","PG-13","True","N/A","Real Steel","N/A","John Gatins, Dan Gilroy","N/A","7.0","Shawn Levy","07 Oct 2011","Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie","2011","Action, Drama, Sci-Fi, Sport","N/A","2 h 7 min","movie","http://ia.media-imdb.com/images/M/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_SX300.jpg","180,885","tt0433035"
"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.","PG-13","True","English","Super 8","USA","J.J. Abrams","72","7.1","J.J. Abrams","10 Jun 2011","Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee","2011","Mystery, Sci-Fi, Thriller","8 wins & 37 nominations.","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM5NzkxMzQ5MF5BMl5BanBnXkFtZTcwNDYwMTA3NA@@._V1_SX300.jpg","213,179","tt1650062"
"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","PG-13","True","English, Russian, Italian","Limitless","USA","Leslie Dixon (screenplay), Alan Glynn (novel)","59","7.3","Neil Burger","18 Mar 2011","Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","2011","Mystery, Sci-Fi, Thriller","1 win & 6 nominations.","105 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3NjczNzc5Nl5BMl5BanBnXkFtZTcwMzA2MzQyNA@@._V1_SY264_CR0,0,178,264_.jpg","264,001","tt1219289"
"Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.","R","True","English, Klingon","Paul","USA, UK","Simon Pegg, Nick Frost","57","7.0","Greg Mottola","18 Mar 2011","Mia Stallard, Simon Pegg, Nick Frost, Jeremy Owen","2011","Adventure, Comedy, Sci-Fi","1 win & 5 nominations.","104 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQzNzAwMTM3MV5BMl5BanBnXkFtZTcwNTE1MTAzNA@@._V1_SY264_CR0,0,178,264_.jpg","138,294","tt1092026"
"A test pilot is granted an alien ring that bestows him with otherworldly powers, as well as membership into an intergalactic squadron tasked with keeping peace within the universe.","PG-13","True","English","Green Lantern","USA","Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay)","39","5.7","Martin Campbell","17 Jun 2011","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong","2011","Action, Adventure, Sci-Fi","1 win & 2 nominations.","114 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SY264_CR0,0,178,264_.jpg","160,773","tt1133985"
"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.","PG-13","True","English, Sign Languages","Rise of the Planet of the Apes","USA","Rick Jaffa, Amanda Silver, Pierre Boulle (novel)","68","7.5","Rupert Wyatt","05 Aug 2011","Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings","2011","Action, Drama, Sci-Fi","Nominated for 1 Oscar. Another 12 wins & 24 nominations.","105 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQyMjUxNTc0Ml5BMl5BanBnXkFtZTcwMjg1ODExNg@@._V1_SY264_CR0,0,178,264_.jpg","256,147","tt1318514"
"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.","PG-13","True","English","Beastly","USA","Daniel Barnz (screenplay), Alex Flinn (novel)","40","5.3","Daniel Barnz","04 Mar 2011","Alex Pettyfer, Justin Bradley, Mary-Kate Olsen, Dakota Johnson","2011","Drama, Fantasy, Romance","1 win & 1 nomination.","86 min","movie","http://ia.media-imdb.com/images/M/MV5BMzUzMTcxMTEzNV5BMl5BanBnXkFtZTcwMTcwNjcxNA@@._V1_SX300.jpg","43,261","tt1152398"
"A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.","R","True","English","Drive Angry","USA","Todd Farmer, Patrick Lussier","44","5.4","Patrick Lussier","25 Feb 2011","Nicolas Cage, Amber Heard, William Fichtner, Billy Burke","2011","Action, Crime, Fantasy","2 wins & 5 nominations.","104 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIwNTM4Njg2NF5BMl5BanBnXkFtZTcwNDQwMTAwNA@@._V1_SY264_CR0,0,178,264_.jpg","65,311","tt1502404"
