"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.","R","True","English, Spanish","The Place Beyond the Pines","USA","Derek Cianfrance (story), Ben Coccio (story), Darius Marder (screenplay)","68","7.4","Derek Cianfrance","19 Apr 2013","Ryan Gosling, Eva Mendes, Anthony Pizza, Mahershala Ali","2012","Crime, Drama","2 wins & 4 nominations.","140 min","movie","http://ia.media-imdb.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_SX300.jpg","104,424","tt1817273"
"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.","PG-13","True","English","The Twilight Saga: Breaking Dawn - Part 2","USA","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","52","5.6","Bill Condon","16 Nov 2012","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","2012","Adventure, Drama, Fantasy","19 wins & 10 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg","128,001","tt1673434"
"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives for ever.","PG-13","True","English","NA","USA, UK","NA","63","7.7","Tom Hooper","25 Dec 2012","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","2012","Drama, Musical, Romance","Won 3 Oscars. Another 48 wins & 110 nominations.","158 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg","167,350","tt1707386"
"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","PG-13","True","English","Skyfall","UK, USA","Neal Purvis, Robert Wade, John Logan","81","7.8","Sam Mendes","09 Nov 2012","Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","2012","Action, Adventure, Thriller","Won 2 Oscars. Another 38 wins & 76 nominations.","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg","362,693","tt1074638"
"A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.","R","True","English","21 Jump Street","USA","Michael Bacall (screenplay), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)","69","7.2","Phil Lord, Chris Miller","16 Mar 2012","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","2012","Action, Comedy, Crime","6 wins & 18 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg","228,951","tt1232829"
"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.","PG","True","English","Wreck-It Ralph","USA","Rich Moore (story), Phil Johnston (story), Jim Reardon (story), Jennifer Lee (screenplay), John C. Reilly (additional story material), Sam J. Levine (additional story material), Jared Stern (additional story material)","72","7.8","Rich Moore","02 Nov 2012","John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch","2012","Animation, Adventure, Comedy","Nominated for 1 Oscar. Another 19 wins & 20 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SY264_CR0,0,178,264_.jpg","150,846","tt1772341"
"Two young boys encounter a fugitive and form a pact to help him evade the bounty hunters on his trail and to reunite him with his true love.","PG-13","True","N/A","Mud","N/A","Jeff Nichols","76","7.5","Jeff Nichols","10 May 2013","Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland","2012","Drama","N/A","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU2MzcyODgyNV5BMl5BanBnXkFtZTcwNTc4MDYwOQ@@._V1_SY264_CR0,0,178,264_.jpg","51,108","tt1935179"
"A male stripper teaches a younger performer how to party, pick up women, and make easy money.","R","True","English","Magic Mike","USA","Reid Carolin","72","6.1","Steven Soderbergh","29 Jun 2012","Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","2012","Comedy, Drama","5 wins & 10 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SY264_CR0,0,178,264_.jpg","64,441","tt1915581"
"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.","R","True","N/A","Argo","N/A","Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)","86","7.8","Ben Affleck","12 Oct 2012","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","2012","Biography, Drama, History","N/A","120 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SY264_CR0,0,178,264_.jpg","276,532","tt1024648"
"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","R","True","English","Flight","USA","John Gatins","76","7.3","Robert Zemeckis","02 Nov 2012","Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","2012","Drama, Thriller","Nominated for 2 Oscars. Another 10 wins & 31 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SY264_CR0,0,178,264_.jpg","169,125","tt1907668"
"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.","R","True","English","This Is 40","USA","Judd Apatow","59","6.2","Judd Apatow","21 Dec 2012","Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow","2012","Comedy","2 wins & 8 nominations.","134 min","movie","http://ia.media-imdb.com/images/M/MV5BNzQxMDQ1NjA4N15BMl5BanBnXkFtZTcwNTE5MjQ3OA@@._V1_SX300.jpg","70,686","tt1758830"
"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.","R","True","English, Scottish Gaelic","Prometheus","USA, UK","Jon Spaihts, Damon Lindelof, Dan O'Bannon (elements), Ronald Shusett (elements)","65","7.1","Ridley Scott","08 Jun 2012","Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba","2012","Adventure, Mystery, Sci-Fi","Nominated for 1 Oscar. Another 3 wins & 21 nominations.","124 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg","328,263","tt1446714"
"A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade.","R","True","English","Stand Up Guys","USA","Noah Haidle","41","6.5","Fisher Stevens","01 Feb 2013","Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies","2012","Comedy, Crime","N/A","95 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgwNjgyOTExMV5BMl5BanBnXkFtZTcwNTIzODA1OA@@._V1_SX300.jpg","28,392","tt1389096"
"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May 2011.","R","True","English, Arabic","Zero Dark Thirty","USA","Mark Boal","95","7.4","Kathryn Bigelow","11 Jan 2013","Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler","2012","Drama, History, Thriller","Won 1 Oscar. Another 58 wins & 72 nominations.","157 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg","147,930","tt1790885"
"As the result of a childhood wish, John Bennett's teddy bear, Ted, came to life and has been by John's side ever since - a friendship that's tested when Lori, John's girlfriend of four years, wants more from their relationship.","R","True","English","Ted","USA","Seth MacFarlane (screenplay), Alec Sulkin (screenplay), Wellesley Wild (screenplay)","62","7.1","Seth MacFarlane","29 Jun 2012","Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale","2012","Comedy, Fantasy","Nominated for 1 Oscar. Another 6 wins & 21 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg","306,404","tt1637725"
"Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.","R","True","English","Savages","USA","Shane Salerno (screenplay), Don Winslow (screenplay), Oliver Stone (screenplay)","59","6.5","Oliver Stone","06 Jul 2012","Blake Lively, Taylor Kitsch, Aaron Taylor-Johnson, Jana Banker","2012","Adventure, Crime, Drama","6 nominations.","131 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg","78,029","tt1615065"
"A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.","R","True","English, Vietnamese","Seven Psychopaths","UK","Martin McDonagh","66","7.2","Martin McDonagh","12 Oct 2012","Michael Pitt, Michael Stuhlbarg, Sam Rockwell, Colin Farrell","2012","Comedy, Crime, Thriller","2 wins & 15 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgwMzUxMjc0M15BMl5BanBnXkFtZTcwMzQ2MjYyOA@@._V1_SY264_CR0,0,178,264_.jpg","121,137","tt1931533"
"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","R","True","Danish, English, Polish","The Hunt","Denmark, Sweden","Tobias Lindholm, Thomas Vinterberg","76","8.3","Thomas Vinterberg","10 Jan 2013","NA","2012","Drama","Nominated for 1 Golden Globe. Another 17 wins & 20 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg","59,370","tt2106476"
"Peter Parker finds a clue that might help him understand why his parents disappeared when he was young. His path puts him on a collision course with Dr. Curt Connors, his father's former partner.","PG-13","True","English","The Amazing Spider-Man","USA","James Vanderbilt (screenplay), Alvin Sargent (screenplay), Steve Kloves (screenplay), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)","66","7.1","Marc Webb","03 Jul 2012","Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary","2012","Action, Adventure, Fantasy","3 wins & 25 nominations.","136 min","movie","http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg","283,660","tt0948470"
"A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.","PG-13","True","English","Jack Reacher","USA","Christopher McQuarrie (screenplay), Lee Child (based on the book ""One Shot"" by)","50","6.9","Christopher McQuarrie","21 Dec 2012","Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo","2012","Action, Crime, Thriller","1 win & 3 nominations.","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_SX300.jpg","135,150","tt0790724"
"Set in Depression-era Franklin County, Virginia, a bootlegging gang is threatened by a new deputy and other authorities who want a cut of their profits.","R","True","English","Lawless","USA","Nick Cave (screenplay), Matt Bondurant (novel)","58","7.3","John Hillcoat","29 Aug 2012","Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce","2012","Crime, Drama","1 win & 4 nominations.","116 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_SX300.jpg","120,923","tt1212450"
"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.","R","True","English","Looper","USA, China","Rian Johnson","84","7.5","Rian Johnson","28 Sep 2012","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","2012","Action, Crime, Sci-Fi","9 wins & 26 nominations.","119 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3NTY0MjEwNV5BMl5BanBnXkFtZTcwNTE3NDA1OA@@._V1_SY264_CR13,0,178,264_.jpg","283,588","tt1276104"
"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","PG","True","English, Tamil, French, Japanese, Hindi","Life of Pi","USA, Taiwan, UK","Yann Martel (novel), David Magee (screenplay)","79","8.1","Ang Lee","21 Nov 2012","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","2012","Adventure, Drama, Fantasy","Won 4 Oscars. Another 50 wins & 77 nominations.","127 min","movie","http://ia.media-imdb.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX178_.jpg","271,025","tt0454876"
"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.","PG-13","True","English","Snow White and the Huntsman","USA","Evan Daugherty (screenplay), John Lee Hancock (screenplay), Hossein Amini (screenplay)","57","6.2","Rupert Sanders","01 Jun 2012","Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","2012","Adventure, Drama, Fantasy","Nominated for 2 Oscars. Another 10 wins & 26 nominations.","127 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ1NDA0MTk5OV5BMl5BanBnXkFtZTcwMTM4NDMwNw@@._V1_SX300.jpg","166,217","tt1735898"
"A true-crime writer finds a cache of 8mm home movies films that suggest the murder he is currently researching is the work of a serial killer whose career dates back to the 1960s.","R","True","English, Portuguese, French, Breton","Sinister","USA, UK","Scott Derrickson, C. Robert Cargill","53","6.7","Scott Derrickson","12 Oct 2012","Ethan Hawke, Juliet Rylance, Fred Dalton Thompson, James Ransone","2012","Horror, Mystery, Thriller","4 wins & 2 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_SX300.jpg","77,714","tt1922777"
"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.","R","True","English","Dredd","UK, USA, India, South Africa","John Wagner (characters), Carlos Ezquerra (characters), Alex Garland (screenplay)","59","7.0","Pete Travis","21 Sep 2012","Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau","2012","Action, Crime, Sci-Fi","2 wins & 8 nominations.","95 min","movie","http://ia.media-imdb.com/images/M/MV5BODkyNDQzMzUzOF5BMl5BanBnXkFtZTcwODYyMDEyOA@@._V1_SY264_CR0,0,178,264_.jpg","137,203","tt1343727"
"A group of teenagers look to save their town from an invasion of North Korean soldiers.","PG-13","True","English, Korean","Red Dawn","USA","Carl Ellsworth (screenplay), Jeremy Passmore (screenplay), Kevin Reynolds, John Milius, Kevin Reynolds (story)","31","5.3","Dan Bradley","21 Nov 2012","Chris Hemsworth, Josh Peck, Josh Hutcherson, Adrianne Palicki","2012","Action, Thriller, War","1 win & 4 nominations.","93 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI0MDAwMzA1M15BMl5BanBnXkFtZTcwNzIxMjY3OA@@._V1_SY264_CR0,0,178,264_.jpg","42,267","tt1234719"
"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.","PG-13","True","English","Lincoln","USA","Tony Kushner (screenplay), Doris Kearns Goodwin (book)","86","7.5","Steven Spielberg","16 Nov 2012","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","2012","Biography, Drama, History","Won 2 Oscars. Another 62 wins & 115 nominations.","150 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg","132,660","tt0443272"
"Five friends go for a break at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods.","R","True","English, Japanese","The Cabin in the Woods","USA","Joss Whedon, Drew Goddard","72","7.1","Drew Goddard","13 Apr 2012","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz","2012","Horror, Mystery, Thriller","8 wins & 13 nominations.","95 min","movie","http://ia.media-imdb.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_SX300.jpg","184,640","tt1259521"
"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.","PG-13","True","English","Rock of Ages","USA","Justin Theroux (screenplay), Chris D'Arienzo (screenplay), Allan Loeb (screenplay)","47","5.8","Adam Shankman","15 Jun 2012","Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta","2012","Comedy, Drama, Musical","1 win & 7 nominations.","123 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg2NDQyODAzNF5BMl5BanBnXkFtZTcwMTg5MDA3Nw@@._V1_SX300.jpg","45,414","tt1336608"
"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.","R","True","English","Stuck in Love","USA","Josh Boone","49","7.3","Josh Boone","02 May 2013","Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff","2012","Comedy, Drama, Romance","N/A","97 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg","13,158","tt2205697"
"A pair of young lovers flee their New England town, which causes a local search party to fan out and find them.","PG-13","True","English","Moonrise Kingdom","USA","Wes Anderson, Roman Coppola","84","7.8","Wes Anderson","29 Jun 2012","Bruce Willis, Edward Norton, Bill Murray, Frances McDormand","2012","Comedy, Drama, Romance","Nominated for 1 Oscar. Another 29 wins & 55 nominations.","94 min","movie","http://ia.media-imdb.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_SY264_CR0,0,178,264_.jpg","146,113","tt1748122"
"When a teenager and her mother move to a little town, the girl finds that an accident happened in the house at the end of the street. But things get complicated when she befriends a boy who is the only survivor in the accident.","PG-13","True","English","House at the End of the Street","USA, Canada","David Loucka (screenplay), Jonathan Mostow (story)","31","5.5","Mark Tonderai","21 Sep 2012","Jennifer Lawrence, Max Thieriot, Elisabeth Shue, Gil Bellows","2012","Horror, Mystery, Thriller","2 wins & 3 nominations.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIxNTUwNTU4N15BMl5BanBnXkFtZTcwNTE0MTI3Nw@@._V1_SX300.jpg","37,179","tt1582507"
"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.","PG","True","English","Rise of the Guardians","USA","David Lindsay-Abaire (screenplay), William Joyce (book)","57","7.2","Peter Ramsey","21 Nov 2012","Chris Pine, Alec Baldwin, Jude Law, Isla Fisher","2012","Animation, Adventure, Family","Nominated for 1 Golden Globe. Another 7 wins & 22 nominations.","97 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_SX178_.jpg","70,576","tt1446192"
"The true story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters have any clue about his real profession.","R","True","English","The Iceman","USA","Morgan Land (screenplay), Ariel Vromen (screenplay), Anthony Bruno (book), Jim Thebaut (documentary ""The Iceman Tapes: Conversations with a Killer"")","60","6.9","Ariel Vromen","02 May 2013","Michael Shannon, Winona Ryder, Chris Evans, Ray Liotta","2012","Biography, Crime, Drama","2 wins.","105 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc3NjY3NzUyOF5BMl5BanBnXkFtZTcwMTA5NzAyOA@@._V1_SX300.jpg","28,745","tt1491044"
"A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction.","R","True","English","Thanks for Sharing","USA","Stuart Blumberg (screenplay), Matt Winston (screenplay)","54","6.4","Stuart Blumberg","14 Sep 2013","Mark Ruffalo, Tim Robbins, Gwyneth Paltrow, Josh Gad","2012","Comedy, Drama","N/A","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA5MzI3ODcxMF5BMl5BanBnXkFtZTcwODY5MTc4OQ@@._V1_SX300.jpg","3,242","tt1932718"
