"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level.","PG-13","True","English, Mandarin","The Dark Knight","USA, UK","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), David S. Goyer (story), Bob Kane (characters)","82","9.0","Christopher Nolan","18 Jul 2008","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","2008","Action, Crime, Drama","Won 2 Oscars. Another 94 wins & 69 nominations.","152 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg","1,087,002","tt0468569"
"A teenage girl risks everything when she falls in love with a vampire.","PG-13","True","English","Twilight","USA","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","56","5.2","Catherine Hardwicke","21 Nov 2008","Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke","2008","Drama, Fantasy, Romance","25 wins & 10 nominations.","122 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg","273,681","tt1099212"
"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.","PG-13","True","English, Russian, French","The Curious Case of Benjamin Button","USA","Eric Roth (screenplay), Robin Swicord (story), F. Scott Fitzgerald (short story)","70","7.8","David Fincher","25 Dec 2008","Cate Blanchett, Brad Pitt, Julia Ormond, Faune A. Chambers","2008","Drama, Fantasy, Romance","Won 3 Oscars. Another 42 wins & 80 nominations.","166 min","movie","http://ia.media-imdb.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_SY264_CR0,0,178,264_.jpg","322,813","tt0421715"
"When wealthy industrialist Tony Stark is forced to build an armored suit after a life-threatening incident, he ultimately decides to use its technology to fight against evil.","PG-13","True","English, Persian, Urdu, Arabic","Iron Man","USA","Mark Fergus (screenplay), Hawk Ostby (screenplay), Art Marcum (screenplay), Matt Holloway (screenplay), Stan Lee (characters), Don Heck (characters), Larry Lieber (characters), Jack Kirby (characters)","79","7.9","Jon Favreau","02 May 2008","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","2008","Action, Adventure, Sci-Fi","Nominated for 2 Oscars. Another 15 wins & 43 nominations.","126 min","movie","http://ia.media-imdb.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg","454,582","tt0371746"
"James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while, he still tries to seek revenge over the death of his love.","PG-13","True","English, Spanish, Italian, French, Swiss German, German","Quantum of Solace","UK, USA","Paul Haggis, Neal Purvis, Robert Wade","58","6.7","Marc Forster","14 Nov 2008","Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","2008","Action, Adventure, Crime","Nominated for 2 BAFTA Film Awards. Another 4 wins & 22 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_SY264_CR0,0,178,264_.jpg","230,889","tt0830515"
"A rebellious Malibu princess is shipped off to a strict English boarding school by her father.","PG-13","True","English","Wild Child","USA, UK, France","Lucy Dahl","N/A","5.9","Nick Moore","15 Aug 2008","Emma Roberts, Lexi Ainsworth, Shelby Young, Johnny Pacar","2008","Comedy, Drama, Romance","N/A","124 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk5MDYxODYxNV5BMl5BanBnXkFtZTcwMjU5ODc4MQ@@._V1_SX300.jpg","22,273","tt1024255"
"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.","G","True","English","High School Musical 3: Senior Year","USA","Peter Barsocchini","57","4.1","Kenny Ortega","24 Oct 2008","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel","2008","Comedy, Drama, Family","8 wins & 9 nominations.","112 min","movie","http://ia.media-imdb.com/images/M/MV5BNDE1NjU2NTMyNV5BMl5BanBnXkFtZTcwMTg3NDA3MQ@@._V1_SX300.jpg","33,081","tt0962726"
"A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witness his dealer's boss murder a competitor while trying to serve papers on him.","R","True","English, Cantonese, Korean","Pineapple Express","USA","Seth Rogen (screenplay), Evan Goldberg (screenplay), Judd Apatow (story)","64","7.0","David Gordon Green","06 Aug 2008","Seth Rogen, James Franco, Danny McBride, Kevin Corrigan","2008","Action, Comedy, Crime","Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.","111 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY1MTE4NzAwM15BMl5BanBnXkFtZTcwNzg3Mjg2MQ@@._V1_SX178_.jpg","174,918","tt0910936"
"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","R","True","English, Mandarin","Tropic Thunder","USA, UK, Germany","Justin Theroux (screenplay), Ben Stiller (screenplay), Etan Cohen (screenplay)","71","7.0","Ben Stiller","13 Aug 2008","Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black","2008","Action, Comedy","Nominated for 1 Oscar. Another 12 wins & 18 nominations.","107 min","movie","http://ia.media-imdb.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg","229,535","tt0942385"
"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.","PG","True","N/A","The Chronicles of Narnia: Prince Caspian","N/A","Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (novel)","62","6.6","Andrew Adamson","16 May 2008","Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley","2008","Action, Adventure, Family","N/A","150 min","movie","http://ia.media-imdb.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SY264_CR0,0,178,264_.jpg","105,277","tt0499448"
