"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Ron Burgundy is San Diego's top rated newsman in the male-dominated broadcasting of the 70's, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.","PG-13","True","English, French, Spanish","Anchorman: The Legend of Ron Burgundy","USA","Will Ferrell, Adam McKay","63","7.2","Adam McKay","09 Jul 2004","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell","2004","Comedy","1 win & 9 nominations.","94 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_SX300.jpg","181,709","tt0357413"
"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","PG-13","True","English, German, Vietnamese, Swahili","Mean Girls","USA, Canada","Rosalind Wiseman (book), Tina Fey (screenplay)","66","6.9","Mark Waters","30 Apr 2004","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows","2004","Comedy","7 wins & 16 nominations.","97 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg","158,960","tt0377092"
"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","PG","True","English","Lemony Snicket's A Series of Unfortunate Events","USA, Germany","Robert Gordon (screenplay), Daniel Handler (books)","62","6.8","Brad Silberling","17 Dec 2004","Jim Carrey, Liam Aiken, Emily Browning, Kara Hoffman","2004","Adventure, Comedy, Family","Won 1 Oscar. Another 7 wins & 21 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE3MDM4NTg0NV5BMl5BanBnXkFtZTcwNjI4MTczMw@@._V1_SX300.jpg","118,774","tt0339291"
"A poor and passionate young man falls in love with a rich young woman and gives her a sense of freedom. They soon are separated by their social differences.","PG-13","True","English","The Notebook","USA","Jeremy Leven (screenplay), Jan Sardi (adaptation), Nicholas Sparks (novel)","53","7.9","Nick Cassavetes","25 Jun 2004","Tim Ivey, Gena Rowlands, Starletta DuPois, James Garner","2004","Drama, Romance","11 wins & 7 nominations.","123 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_SY264_CR0,0,178,264_.jpg","269,167","tt0332280"
"Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","PG","True","English, German, Czech","A Cinderella Story","USA, Canada","Leigh Dunlap","25","5.7","Mark Rosman","16 Jul 2004","Hilary Duff, Jennifer Coolidge, Chad Michael Murray, Dan Byrd","2004","Comedy, Family, Romance","6 wins & 8 nominations.","95 min","movie","http://ia.media-imdb.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1_SX300.jpg","42,047","tt0356470"
"An industrial worker who hasn't slept in a year begins to doubt his own sanity.","R","True","English","The Machinist","Spain","Scott Kosar","61","7.7","Brad Anderson","17 Dec 2004","Christian Bale, Jennifer Jason Leigh, Aitana S谩nchez-Gij贸n, John Sharian","2004","Drama, Thriller","10 wins & 10 nominations.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkxMjc0Nzk3Ml5BMl5BanBnXkFtZTcwNDM5MTcyMQ@@._V1_SX300.jpg","200,598","tt0361862"
"A couple undergo a procedure to erase each other from their memories when their relationship turns sour, but it is only through the process of loss that they discover what they had to begin with.","R","True","English","Eternal Sunshine of the Spotless Mind","USA","Charlie Kaufman (story), Michel Gondry (story), Pierre Bismuth (story)","89","8.4","Michel Gondry","19 Mar 2004","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood","2004","Drama, Romance, Sci-Fi","Won 1 Oscar. Another 46 wins & 54 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg","458,913","tt0338013"
"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.","PG","True","English","Harry Potter and the Prisoner of Azkaban","UK, USA","J.K. Rowling (novel), Steve Kloves (screenplay)","82","7.7","Alfonso Cuar贸n","04 Jun 2004","Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw","2004","Adventure, Family, Fantasy","Nominated for 2 Oscars. Another 12 wins & 35 nominations.","142 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg","266,085","tt0304141"
"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","R","True","English","Troy","USA, Malta, UK","Homer (poem), David Benioff (screenplay)","56","7.1","Wolfgang Petersen","14 May 2004","Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis","2004","Adventure, Drama","Nominated for 1 Oscar. Another 3 wins & 17 nominations.","163 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_SX300.jpg","263,732","tt0332452"
"An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there.","PG-13","True","English, French, Russian, Bulgarian, Spanish","The Terminal","USA","Andrew Niccol (story), Sacha Gervasi (story), Jeff Nathanson (screenplay)","55","7.2","Steven Spielberg","18 Jun 2004","Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride","2004","Comedy, Drama","3 wins & 2 nominations.","128 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM1MTIwNTMxOF5BMl5BanBnXkFtZTcwNjIxMjQyMw@@._V1_SY264_CR8,0,178,264_.jpg","208,196","tt0362227"
