"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A skilled extractor is offered a chance to regain his old life as payment for a task considered to be impossible.","PG-13","True","English, Japanese, French","Inception","USA, UK","Christopher Nolan","74","8.8","Christopher Nolan","16 Jul 2010","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","2010","Action, Adventure, Mystery","Won 4 Oscars. Another 83 wins & 109 nominations.","148 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg","886,247","tt1375666"
"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","PG","True","N/A","Despicable Me","N/A","Cinco Paul (screenplay), Ken Daurio (screenplay), Sergio Pablos (story)","72","7.6","Pierre Coffin, Chris Renaud","09 Jul 2010","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","2010","Animation, Comedy, Crime","N/A","95 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SY264_CR0,0,178,264_.jpg","218,862","tt1323594"
"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.","R","True","English","Kick-Ass","UK, USA","Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)","66","7.8","Matthew Vaughn","16 Apr 2010","Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","2010","Action, Comedy","7 wins & 30 nominations.","117 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg","315,126","tt1250777"
"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","PG","True","English","Tangled","USA","Dan Fogelman (screenplay), Jacob Grimm (fairy tale), Wilhelm Grimm (fairy tale), Dean Wellins (additional story)","71","7.8","Nathan Greno, Byron Howard","24 Nov 2010","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","2010","Animation, Comedy, Family","Nominated for 1 Oscar. Another 4 wins & 24 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg","159,751","tt0398286"
"A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.","PG-13","True","English","Insidious","USA, Canada","Leigh Whannell","52","6.7","James Wan","01 Apr 2011","Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","2010","Horror, Thriller","5 wins & 4 nominations.","103 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_SY264_CR0,0,178,264_.jpg","113,650","tt1591095"
"A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.","PG","True","English, Greek,  Ancient (to 1453)","Percy Jackson & the Lightning Thief","Canada, USA","Craig Titley (screenplay), Rick Riordan (novel)","47","5.8","Chris Columbus","12 Feb 2010","Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel","2010","Adventure, Family, Fantasy","8 nominations.","118 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ0MzY5OTQ2N15BMl5BanBnXkFtZTcwNzI1MTU5Mg@@._V1_SY264_CR0,0,178,264_.jpg","95,323","tt0814255"
"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","PG-13","True","English, Spanish","Grown Ups","USA","Adam Sandler, Fred Wolf","30","5.8","Dennis Dugan","25 Jun 2010","Adam Sandler, Kevin James, Chris Rock, David Spade","2010","Comedy","3 wins & 4 nominations.","102 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SY264_CR0,0,178,264_.jpg","123,429","tt1375670"
"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","PG","True","N/A","How to Train Your Dragon","N/A","William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)","74","8.2","Dean DeBlois, Chris Sanders","26 Mar 2010","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera","2010","Animation, Adventure, Comedy","N/A","98 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX178_.jpg","261,535","tt0892769"
"A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.","PG-13","True","English","Easy A","USA","Bert V. Royal","72","7.1","Will Gluck","17 Sep 2010","Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd","2010","Comedy, Romance","Nominated for 1 Golden Globe. Another 4 wins & 9 nominations.","92 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_SX300.jpg","171,705","tt1282140"
"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.","R","True","English, French, Italian","Black Swan","USA","Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay)","79","8.0","Darren Aronofsky","17 Dec 2010","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey","2010","Drama, Mystery, Thriller","Won 1 Oscar. Another 57 wins & 124 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SY264_CR0,0,178,264_.jpg","388,263","tt0947798"
