"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.","PG-13","True","English, French","Harry Potter and the Goblet of Fire","UK, USA","Steve Kloves (screenplay), J.K. Rowling (novel)","81","7.6","Mike Newell","18 Nov 2005","Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe","2005","Adventure, Family, Fantasy","Nominated for 1 Oscar. Another 10 wins & 34 nominations.","157 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg","270,211","tt0330373"
"After three years of fighting in the Clone Wars, Anakin Skywalker falls prey to the Sith Lord's lies and makes an enemy of the Jedi and those he loves, concluding his journey to the Dark Side.","PG-13","True","English","Star Wars: Episode III - Revenge of the Sith","USA","George Lucas","68","7.7","George Lucas","19 May 2005","Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid","2005","Action, Adventure, Fantasy","Nominated for 1 Oscar. Another 14 wins & 29 nominations.","140 min","movie","http://ia.media-imdb.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg","349,680","tt0121766"
"After training with his mentor, Batman begins his war on crime to free the crime-ridden Gotham City from corruption that the Scarecrow and the League of Shadows have cast upon it.","PG-13","True","N/A","Batman Begins","N/A","Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay)","70","8.3","Christopher Nolan","15 Jun 2005","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","2005","Action, Adventure, Crime","N/A","140 min","movie","http://ia.media-imdb.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX178_.jpg","623,705","tt0372784"
"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","PG","True","N/A","Charlie and the Chocolate Factory","N/A","Roald Dahl (book), John August (screenplay)","72","6.7","Tim Burton","15 Jul 2005","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter","2005","Adventure, Comedy, Family","N/A","115 min","movie","http://ia.media-imdb.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SY264_CR0,0,178,264_.jpg","221,665","tt0367594"
"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","PG","True","English","Pride & Prejudice","France, UK, USA","Jane Austen (novel), Deborah Moggach (screenplay)","82","7.7","Joe Wright","23 Nov 2005","Keira Knightley, Talulah Riley, Rosamund Pike, Jena Malone","2005","Drama, Romance","Nominated for 4 Oscars. Another 15 wins & 35 nominations.","129 min","movie","http://ia.media-imdb.com/images/M/MV5BMTA1NDQ3NTcyOTNeQTJeQWpwZ15BbWU3MDA0MzA4MzE@._V1_SX300.jpg","137,428","tt0414387"
"Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.","PG","True","N/A","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","N/A","Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book)","75","6.8","Andrew Adamson","09 Dec 2005","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell","2005","Adventure, Family, Fantasy","N/A","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SY264_CR0,0,178,264_.jpg","206,772","tt0363771"
"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.","R","True","English","Sin City","USA","Frank Miller (graphic novels)","74","8.2","Frank Miller, Robert Rodriguez, Quentin Tarantino","01 Apr 2005","Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe","2005","Crime, Thriller","21 wins & 29 nominations.","124 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI2NjUyMDUyMV5BMl5BanBnXkFtZTcwMzU0OTkyMQ@@._V1_SX300.jpg","476,604","tt0401792"
"In a future British tyranny, a shadowy freedom fighter plots to overthrow it with the help of a young woman.","R","True","English","V for Vendetta","USA, UK, Germany","Andy Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)","62","8.2","James McTeigue","17 Mar 2006","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","2005","Action, Sci-Fi, Thriller","4 wins & 17 nominations.","132 min","movie","http://ia.media-imdb.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg","528,892","tt0434409"
"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.","R","True","English","Wedding Crashers","USA","Steve Faber, Bob Fisher","64","7.0","David Dobkin","15 Jul 2005","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams","2005","Comedy, Romance","10 wins & 8 nominations.","119 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc4NTUyNzU4MV5BMl5BanBnXkFtZTcwMzcyMTkyMQ@@._V1_SX300.jpg","213,219","tt0396269"
"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.","PG","True","English, Cantonese","Sky High","USA","Paul Hernandez, Robert Schooley, Mark McCorkle","62","6.2","Mike Mitchell","29 Jul 2005","Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker","2005","Adventure, Comedy, Family","1 nomination.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMzODg4MTc0NV5BMl5BanBnXkFtZTcwOTU0MzkzMQ@@._V1_SX300.jpg","46,529","tt0405325"
