"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Brian O'Conner and childhood friend Roman Pearce are re-united by the FBI to bring down a Miami drug exporter in exchange for clear records.","PG-13","True","English, Spanish","2 Fast 2 Furious","USA, Germany","Gary Scott Thompson (characters), Michael Brandt (story), Derek Haas (story)","38","5.5","John Singleton","06 Jun 2003","Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser","2003","Action, Crime, Thriller","3 wins & 13 nominations.","107 min","movie","http://ia.media-imdb.com/images/M/MV5BMTIyMDUwMDc4OF5BMl5BanBnXkFtZTYwNTY2Nzk5._V1_SX178_.jpg","117,686","tt0322259"
"A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.","PG","True","N/A","Holes","N/A","Louis Sachar (novel)","71","7.0","Andrew Davis","18 Apr 2003","Sigourney Weaver, Jon Voight, Tim Blake Nelson, Shia LaBeouf","2003","Adventure, Comedy, Drama","N/A","117 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg0MTU5ODkwM15BMl5BanBnXkFtZTYwMzgxNzY3._V1_SY264_CR0,0,178,264_.jpg","39,775","tt0311289"
"The X-Men band together to find a mutant assassin who has made an attempt on the President's life, while the Mutant Academy is attacked by military forces.","PG-13","True","English, German, Italian","X2","Canada, USA","Zak Penn (story), David Hayter (story), Bryan Singer (story), Michael Dougherty (screenplay), Dan Harris (screenplay)","68","7.5","Bryan Singer","02 May 2003","Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","2003","Action, Adventure, Sci-Fi","5 wins & 32 nominations.","133 min","movie","http://ia.media-imdb.com/images/M/MV5BNDk0NjYxMzIzOF5BMl5BanBnXkFtZTYwMTc1MjU3._V1_SX300.jpg","269,966","tt0290334"
"In an alternate Victorian Age world, a group of famous contemporary fantasy, SF and adventure characters team up on a secret mission.","PG-13","True","English, German, Italian","The League of Extraordinary Gentlemen","USA, Germany, Czech Republic, UK","Alan Moore (comic books), Kevin O'Neill (comic books), James Robinson (screenplay)","30","5.7","Stephen Norrington","11 Jul 2003","Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran","2003","Action, Adventure, Fantasy","6 nominations.","110 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgwMDUxOTg2M15BMl5BanBnXkFtZTcwOTAyODUyMw@@._V1_SX300.jpg","104,218","tt0311429"
"An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.","R","True","English, Japanese","The Last Samurai","USA","John Logan (story), Edward Zwick (screenplay), Marshall Herskovitz (screenplay)","55","7.7","Edward Zwick","05 Dec 2003","Ken Watanabe, Tom Cruise, William Atherton, Chad Lindberg","2003","Action, Drama, History","Nominated for 4 Oscars. Another 18 wins & 39 nominations.","154 min","movie","http://ia.media-imdb.com/images/M/MV5BMzkyNzQ1Mzc0NV5BMl5BanBnXkFtZTcwODg3MzUzMw@@._V1_SY264_CR0,0,178,264_.jpg","232,102","tt0325710"
"Selene, a beautiful vampire warrior, is entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a werewolf who longs for the war to end.","R","True","English","Underworld","UK, Germany, Hungary, USA","Kevin Grevioux (story), Len Wiseman (story), Danny McBride (story)","42","6.9","Len Wiseman","19 Sep 2003","Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly","2003","Action, Fantasy, Thriller","1 win & 8 nominations.","121 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIxNDExNDEyMV5BMl5BanBnXkFtZTcwODY1OTkxMw@@._V1_SX300.jpg","157,325","tt0320691"
"A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.","R","True","English, Japanese, German, French","Lost in Translation","USA, Japan","Sofia Coppola","89","7.8","Sofia Coppola","03 Oct 2003","Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe","2003","Drama","Won 1 Oscar. Another 82 wins & 63 nominations.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI2NDI5ODk4N15BMl5BanBnXkFtZTYwMTI3NTE3._V1_SX178_.jpg","245,288","tt0335266"
"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams.","R","True","English, French","The Matrix Reloaded","USA, Australia","Andy Wachowski, Lana Wachowski","62","7.1","Andy Wachowski, Lana Wachowski","15 May 2003","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu","2003","Action, Sci-Fi","5 wins & 19 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA0NDM5MDY2OF5BMl5BanBnXkFtZTcwNzg5OTEzMw@@._V1_SX300.jpg","321,942","tt0234215"
"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one loses a daughter.","R","True","English","Mystic River","USA, Australia","Brian Helgeland (screenplay), Dennis Lehane (novel)","84","8.0","Clint Eastwood","15 Oct 2003","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne","2003","Crime, Drama, Mystery","Won 2 Oscars. Another 60 wins & 68 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SY264_CR0,0,178,264_.jpg","263,791","tt0327056"
"A wannabe rock star in need of cash poses as a substitute teacher at a prep school, and tries to turn his class into a rock band.","PG-13","True","English","The School of Rock","USA, Germany","Mike White","82","7.0","Richard Linklater","03 Oct 2003","Jack Black, Adam Pascal, Lucas Papaelias, Chris Stack","2003","Comedy, Music","Nominated for 1 Golden Globe. Another 8 wins & 11 nominations.","108 min","movie","http://ia.media-imdb.com/images/M/MV5BMjEwOTMzNjYzMl5BMl5BanBnXkFtZTcwNjczMTQyMQ@@._V1_SX300.jpg","147,973","tt0332379"
"A robotic warrior from a post-apocalyptic future travels back in time to protect a 20-year old drifter and his future wife from an most advanced robotic assassin and to ensure they both survive a nuclear attack.","R","True","English","Terminator 3: Rise of the Machines","USA, Germany, UK","James Cameron (characters), Gale Anne Hurd (characters), John D. Brancato (story), Michael Ferris (story), Tedi Sarafian (story)","66","6.4","Jonathan Mostow","02 Jul 2003","Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken","2003","Action, Sci-Fi, Thriller","2 wins & 17 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SY264_CR0,0,178,264_.jpg","219,102","tt0181852"
"Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.","R","True","English","Old School","USA","Court Crandall (story), Todd Phillips (story), Scot Armstrong (story)","54","7.1","Todd Phillips","21 Feb 2003","Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven","2003","Comedy","4 nominations.","91 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI5OTQzODQ0OF5BMl5BanBnXkFtZTYwNzgwMDc3._V1_SX178_.jpg","151,451","tt0302886"
"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.","R","True","English","Monster","USA, Germany","Patty Jenkins","74","7.3","Patty Jenkins","30 Jan 2004","Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen","2003","Biography, Crime, Drama","Won 1 Oscar. Another 20 wins & 13 nominations.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI4NzI5NzEwNl5BMl5BanBnXkFtZTcwNjc1NjQyMQ@@._V1_SX300.jpg","80,724","tt0340855"
"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","PG-13","True","English, Spanish","Hulk","USA","Stan Lee (Marvel comic book character), Jack Kirby (Marvel comic book character), James Schamus (story), John Turman (screenplay), Michael France (screenplay)","54","5.6","Ang Lee","20 Jun 2003","Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas","2003","Action, Sci-Fi","2 wins & 8 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQxNzUxNTE4Nl5BMl5BanBnXkFtZTYwMjcyNTk5._V1_SX300.jpg","156,861","tt0286716"
"Stranded at a desolate Nevada motel during a nasty rainstorm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.","R","True","English","Identity","USA","Michael Cooney","64","7.3","James Mangold","25 Apr 2003","John Cusack, Ray Liotta, Amanda Peet, John Hawkes","2003","Mystery, Thriller","6 nominations.","90 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE2NzgyNDYzNl5BMl5BanBnXkFtZTYwODM2Nzc2._V1_SX300.jpg","134,538","tt0309698"
"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.","PG","True","English","What a Girl Wants","USA","William Douglas-Home (play), William Douglas-Home, Jenny Bicks (screenplay), Elizabeth Chandler (screenplay)","41","5.7","Dennie Gordon","04 Apr 2003","Amanda Bynes, Colin Firth, Kelly Preston, Eileen Atkins","2003","Comedy, Drama, Romance","1 win.","105 min","movie","http://ia.media-imdb.com/images/M/MV5BNjE0NjExNTgxN15BMl5BanBnXkFtZTYwMjU5Mzg5._V1_SX178_.jpg","33,433","tt0286788"
"The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.","R","True","English, French","The Matrix Revolutions","Australia, USA","Andy Wachowski, Lana Wachowski","47","6.7","Andy Wachowski, Lana Wachowski","05 Nov 2003","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan","2003","Action, Adventure, Sci-Fi","1 win & 18 nominations.","129 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkyNjc4NTQzOV5BMl5BanBnXkFtZTcwNDYzMTQyMQ@@._V1_SX300.jpg","279,107","tt0242653"
"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.","R","True","English","Cold Mountain","USA, UK, Romania, Italy","Charles Frazier (book), Anthony Minghella (screenplay)","73","7.2","Anthony Minghella","25 Dec 2003","Jude Law, Nicole Kidman, RenĂŠe Zellweger, Eileen Atkins","2003","Drama, Romance, War","Won 1 Oscar. Another 17 wins & 63 nominations.","154 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY3NTc5NzcyOF5BMl5BanBnXkFtZTcwMDM0NjQyMQ@@._V1_SX300.jpg","97,021","tt0159365"
"A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.","NC-17","True","English, French","The Dreamers","UK, France, Italy","Gilbert Adair (screenplay)","62","7.1","Bernardo Bertolucci","10 Oct 2003","Michael Pitt, Eva Green, Louis Garrel, Anna Chancellor","2003","Drama, Romance","9 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA4MDU3ODM3OV5BMl5BanBnXkFtZTYwMDE0Njc2._V1_SY264_CR0,0,178,264_.jpg","55,310","tt0309987"
"Two men get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center.","PG","True","N/A","Daddy Day Care","N/A","Geoff Rodkey","39","5.4","Steve Carr","09 May 2003","Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King","2003","Comedy, Family","N/A","92 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY5NDk2MDAzM15BMl5BanBnXkFtZTYwODA5ODE3._V1_SX178_.jpg","36,058","tt0317303"
"Two loose-cannon narcotics cops investigate the flow of Ecstacy into Florida.","R","True","N/A","Bad Boys II","N/A","George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Jerry Stahl (screenplay)","38","6.4","Michael Bay","18 Jul 2003","Martin Lawrence, Will Smith, Jordi MollĂ , Gabrielle Union","2003","Action, Comedy, Crime","N/A","147 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI4Mjc2OTE4MV5BMl5BanBnXkFtZTYwNTE3NDY3._V1_SX178_.jpg","132,218","tt0172156"
"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.","R","True","English, Spanish, Portuguese","Thirteen","USA","Catherine Hardwicke, Nikki Reed","70","6.9","Catherine Hardwicke","07 Nov 2003","Nikki Reed, Evan Rachel Wood, Vanessa Hudgens, Holly Hunter","2003","Biography, Drama","Nominated for 1 Oscar. Another 14 wins & 36 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk0OTk5MzU3NF5BMl5BanBnXkFtZTcwOTQwNDAwMQ@@._V1_SX300.jpg","54,925","tt0328538"
"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.","R","True","English","Bad Santa","USA, Germany","Glenn Ficarra, John Requa","70","7.1","Terry Zwigoff","26 Nov 2003","Billy Bob Thornton, Tony Cox, Brett Kelly, Lauren Graham","2003","Comedy, Crime","Nominated for 1 Golden Globe. Another 1 win & 8 nominations.","91 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA4Njg1MDcwN15BMl5BanBnXkFtZTYwMzAxNjM3._V1_SX300.jpg","85,006","tt0307987"
"The Angels investigate a series of murders that occur after the theft of a witness protection profile database.","PG-13","True","English, Mandarin, Spanish","Charlie's Angels: Full Throttle","USA","Ivan Goff (television series), Ben Roberts (television series), John August (story), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay)","48","4.7","McG","27 Jun 2003","Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac","2003","Action, Adventure, Comedy","7 wins & 14 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM0MTg3OTU5N15BMl5BanBnXkFtZTYwMDc4MzU3._V1_SX300.jpg","82,824","tt0305357"
"A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.","PG-13","True","English, Greek, Italian","Daredevil","USA","Mark Steven Johnson (screenplay)","42","5.3","Mark Steven Johnson","14 Feb 2003","Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan","2003","Action, Crime, Fantasy","4 wins & 15 nominations.","103 min","movie","http://ia.media-imdb.com/images/M/MV5BMzU3MDUxNjYwNl5BMl5BanBnXkFtZTYwNzQ3Nzc2._V1_SX300.jpg","128,259","tt0287978"
"Six people find themselves trapped in the woods of West Virginia, hunted down by ""cannibalistic mountain men grossly disfigured through generations of in-breeding.""","R","True","English","Wrong Turn","USA, Germany","Alan B. McElroy","32","6.0","Rob Schmidt","30 May 2003","Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto","2003","Horror, Thriller","3 nominations.","84 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQwMTkyMTY4M15BMl5BanBnXkFtZTYwMDc0NDE3._V1_SX300.jpg","65,599","tt0295700"
"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.","PG","True","English","Cheaper by the Dozen","USA","Frank B. Gilbreth Jr. (novel), Ernestine Gilbreth Carey (novel), Craig Titley (screen story), Sam Harper (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)","46","5.7","Shawn Levy","25 Dec 2003","Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling","2003","Comedy, Family","2 wins & 7 nominations.","98 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg0NzYxMjY0Ml5BMl5BanBnXkFtZTcwOTU0NDczMw@@._V1_SX300.jpg","55,516","tt0349205"
"Sally and Conrad are two bored kids whose life is turned up-side-down when a talking cat comes to visit them.","PG","True","English","Dr. Seuss' The Cat in the Hat","USA","Dr. Seuss (book), Alec Berg (screenplay), David Mandel (screenplay), Jeff Schaffer (screenplay)","19","3.6","Bo Welch","21 Nov 2003","Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning","2003","Adventure, Comedy, Family","3 wins & 13 nominations.","82 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI5MDU3MTYyMF5BMl5BanBnXkFtZTYwODgyODc3._V1_SY264_CR0,0,178,264_.jpg","27,827","tt0312528"
"A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.","PG-13","True","English, French","Timeline","USA","Michael Crichton (novel), Jeff Maguire (screenplay), George Nolfi (screenplay)","28","5.5","Richard Donner","26 Nov 2003","Paul Walker, Frances O'Connor, Gerard Butler, Billy Connolly","2003","Action, Adventure, Sci-Fi","N/A","116 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg5OTAyNDE3NV5BMl5BanBnXkFtZTYwOTkzMzE3._V1_SX300.jpg","44,816","tt0300556"
"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.","PG-13","True","English","How to Lose a Guy in 10 Days","USA, Germany","Michele Alexander (book), Jeannie Long (book), Kristen Buckley (screenplay), Brian Regan (screenplay), Burr Steers (screenplay)","45","6.3","Donald Petrie","07 Feb 2003","Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse","2003","Comedy, Romance","1 win & 7 nominations.","116 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_SX300.jpg","103,274","tt0251127"
"A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.","PG-13","True","English","Bruce Almighty","USA","Steve Koren (story), Mark O'Keefe (story), Steve Oedekerk (screenplay)","46","6.6","Tom Shadyac","23 May 2003","Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall","2003","Comedy, Drama, Fantasy","7 wins & 7 nominations.","101 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_SX178_.jpg","207,993","tt0315327"
"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","PG-13","True","English, French, Portuguese","Master and Commander: The Far Side of the World","USA","Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)","81","7.4","Peter Weir","14 Nov 2003","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall","2003","Action, Adventure, Drama","Won 2 Oscars. Another 22 wins & 57 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA5NjYyMDM5NV5BMl5BanBnXkFtZTYwOTU5MDY2._V1_SX300.jpg","135,192","tt0311113"
"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.","R","True","English, Spanish","Once Upon a Time in Mexico","USA","Robert Rodriguez","56","6.3","Robert Rodriguez","12 Sep 2003","Antonio Banderas, Salma Hayek, Johnny Depp, Mickey Rourke","2003","Action, Thriller","3 wins & 4 nominations.","102 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU5MDg5OTcwOV5BMl5BanBnXkFtZTcwMjI1MTIzMw@@._V1_SX300.jpg","103,174","tt0285823"
"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody and only the LAPD's Special Weapons and Tactics team can prevent it.","PG-13","True","English, Spanish, French","S.W.A.T.","USA","Robert Hamner (characters), Ron Mita (story), Jim McClain (story), David Ayer (screenplay), David McKenna (screenplay)","45","5.9","Clark Johnson","08 Aug 2003","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J","2003","Action, Crime, Thriller","4 wins & 5 nominations.","117 min","movie","http://ia.media-imdb.com/images/M/MV5BNDgzMzA0NDIzOV5BMl5BanBnXkFtZTcwMzcwNDAwMQ@@._V1_SX300.jpg","97,069","tt0257076"
"A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits town, she finds out that their support has a price. Yet her dangerous secret is never far away...","R","True","English","Dogville","Denmark, Sweden, UK, France, Germany, Netherlands, Norway, Finland, Italy","Lars von Trier","59","8.0","Lars von Trier","21 May 2003","Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr","2003","Drama","13 wins & 20 nominations.","178 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkwNTg2MTI1NF5BMl5BanBnXkFtZTcwMDM1MzUyMQ@@._V1_SX300.jpg","84,191","tt0276919"
"A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.","PG-13","True","English, Portuguese","The Rundown","USA","R.J. Stewart (story), James Vanderbilt (screenplay)","59","6.6","Peter Berg","26 Sep 2003","Dwayne Johnson, Seann William Scott, Rosario Dawson, Christopher Walken","2003","Action, Adventure, Comedy","2 wins & 3 nominations.","104 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI4OTM5MzIyNl5BMl5BanBnXkFtZTcwMjY5MzAwMQ@@._V1_SX178_.jpg","65,097","tt0327850"
