"tt1201607","Harry Potter and the Deathly Hallows: Part 2","8.1","130 mins.","David Yates","Daniel Radcliffe;Emma Watson;Rupert Grint","Adventure;Fantasy;Mystery","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord."
"tt1853739","You're Next","6.7","95 mins.","Adam Wingard","Sharni Vinson;Joe Swanberg;AJ Bowen","Comedy;Horror;Thriller","When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of victims harbors a secret talent for fighting back."
"tt1598822","New Year's Eve","5.6","118 mins.","Garry Marshall","Sarah Jessica Parker;Jessica Biel;Ashton Kutcher","Comedy;Romance","The lives of several couples and singles in New York intertwine over the course of New Year's Eve."
"tt1298650","Pirates of the Caribbean: On Stranger Tides","6.6","136 mins.","Rob Marshall","Johnny Depp;Pen̩lope Cruz;Ian McShane","Action;Adventure;Fantasy","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"tt1270798","X-Men: First Class","7.8","132 mins.","Matthew Vaughn","James McAvoy;Michael Fassbender;Jennifer Lawrence","Action;Adventure;Sci-Fi","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start world war III."
"tt0780504","Drive","7.9","100 mins.","Nicolas Winding Refn","Ryan Gosling;Carey Mulligan;Bryan Cranston","Crime;Drama","A mysterious Hollywood stuntman, mechanic and getaway driver lands himself in trouble when he helps out his neighbor."
"tt1464540","I Am Number Four","6.1","109 mins.","D.J. Caruso","Alex Pettyfer;Timothy Olyphant;Dianna Agron","Drama;Romance;Sci-Fi;Thriller","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
"tt0458339","Captain America: The First Avenger","6.8","124 mins.","Joe Johnston","Chris Evans;Hugo Weaving;Samuel L. Jackson","Action;Adventure;Sci-Fi","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into Captain America, a superhero dedicated to defending USA ideals."
"tt1564367","Just Go with It","6.4","117 mins.","Dennis Dugan","Adam Sandler;Jennifer Aniston;Brooklyn Decker","Comedy;Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
"tt0377981","Gnomeo & Juliet","5.9","84 mins.","Kelly Asbury","James McAvoy;Emily Blunt;Maggie Smith","Animation;Comedy;Family;Romance","The neighboring gardens of Montague and Capulet are at war, but the gnomes, Gnomeo and Juliet, are in love."
